s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,193306,Galego da Forra,PIXPOKER,0,0,"70,93"," R$  70,93 ","0,00%","0,00%","100,00%",PLO6,-349
23/02/2026,101534,chupa minha pica,PIXPOKER,0,"2,5","26,7"," R$  29,20 ","0,00%","8,56%","91,44%",PLO6,-357
23/02/2026,102916,Elthigas,PIXPOKER,0,1,"104,9"," R$  105,90 ","0,00%","0,94%","99,06%",PLO6,204
23/02/2026,103345,Homer Simpson,PIXPOKER,0,"19,1","116,92"," R$  136,02 ","0,00%","14,04%","85,96%",PLO6,-534
23/02/2026,120161,Forasteiro,PIXPOKER,0,0,"99,2"," R$  99,20 ","0,00%","0,00%","100,00%",PLO6,-450
23/02/2026,129250,dayvisonfranklin,PIXPOKER,0,0,"358,16"," R$  358,16 ","0,00%","0,00%","100,00%",PLO6,-155
23/02/2026,129292,kinho$?,PIXPOKER,0,1,"107,27"," R$  108,27 ","0,00%","0,92%","99,08%",PLO6,160
23/02/2026,132740,ZeusPixpoker,PIXPOKER,0,0,"83,58"," R$  83,58 ","0,00%","0,00%","100,00%",PLO6,-243
23/02/2026,140015,NenTrindade,PIXPOKER,0,0,"21,88"," R$  21,88 ","0,00%","0,00%","100,00%",PLO6,-300
23/02/2026,142288,Kauezoide,PIXPOKER,"11,74",0,"11,12"," R$  22,86 ","51,36%","0,00%","48,64%",NLH,-143
23/02/2026,142465,crrc79,PIXPOKER,0,326,"214,91"," R$  540,91 ","0,00%","60,27%","39,73%",MTT,-1.811
23/02/2026,145213,pix145213,PIXPOKER,0,0,"607,99"," R$  607,99 ","0,00%","0,00%","100,00%",PLO6,-1.224
23/02/2026,145959,??????,PIXPOKER,"29,05",7,"3381,3"," R$  3.417,35 ","0,85%","0,20%","98,95%",PLO6,-1.611
23/02/2026,149966,ajex,PIXPOKER,0,0,"10,92"," R$  10,92 ","0,00%","0,00%","100,00%",PLO6,-60
23/02/2026,155309,Andre13,PIXPOKER,0,0,"874,67"," R$  874,67 ","0,00%","0,00%","100,00%",PLO6,540
23/02/2026,157737,raule de mel,PIXPOKER,"1,5",0,"13,08"," R$  14,58 ","10,29%","0,00%","89,71%",PLO6,-175
23/02/2026,157739,soukalleb,PIXPOKER,0,0,"7,43"," R$  7,43 ","0,00%","0,00%","100,00%",PLO6,-41
23/02/2026,165694,jr?,PIXPOKER,"1,21","5,5","387,7"," R$  394,41 ","0,31%","1,39%","98,30%",PLO6,-41
23/02/2026,174847,pix174875,PIXPOKER,0,0,"164,71"," R$  164,71 ","0,00%","0,00%","100,00%",PLO6,-885
23/02/2026,186675,soninho,PIXPOKER,0,0,"402,91"," R$  402,91 ","0,00%","0,00%","100,00%",PLO6,-1.031
23/02/2026,187114,papudo,PIXPOKER,"0,5",0,"217,71"," R$  218,21 ","0,23%","0,00%","99,77%",PLO6,-790
23/02/2026,188702,Aécio2064,PIXPOKER,"0,63",0,"14,59"," R$  15,22 ","4,14%","0,00%","95,86%",PLO6,-176
23/02/2026,192323,pix192323,PIXPOKER,"23,98",0,"243,01"," R$  266,99 ","8,98%","0,00%","91,02%",PLO6,-5
23/02/2026,192679,lucaslgbr,PIXPOKER,0,0,"48,26"," R$  48,26 ","0,00%","0,00%","100,00%",PLO6,-211
23/02/2026,192718,PACHOLAAA,PIXPOKER,0,0,"281,55"," R$  281,55 ","0,00%","0,00%","100,00%",PLO6,426
23/02/2026,193251,pix193251,PIXPOKER,0,0,"316,62"," R$  316,62 ","0,00%","0,00%","100,00%",PLO6,-1.485
23/02/2026,193264,07031993,PIXPOKER,"7,61","69,7","653,65"," R$  730,96 ","1,04%","9,54%","89,42%",PLO6,-4.414
23/02/2026,193729,pix193729,PIXPOKER,0,0,"3251,64"," R$  3.251,64 ","0,00%","0,00%","100,00%",PLO6,-4.114
23/02/2026,146307,Bartholomew Kuma,PIXPOKER,0,"17,4",0," R$  17,40 ","0,00%","100,00%","0,00%",MTT,-96
23/02/2026,150634,Genivaldo,PIXPOKER,"45,45","32,38",0," R$  77,83 ","58,40%","41,60%","0,00%",NLH,-81
23/02/2026,156622,alvaromontoro,PIXPOKER,0,"24,1",0," R$  24,10 ","0,00%","100,00%","0,00%",MTT,-241
23/02/2026,159020,Zlatan11,PIXPOKER,"0,69","0,5","26,98"," R$  28,17 ","2,45%","1,77%","95,78%",PLO6,39
23/02/2026,128455,Chuck Norris,PIXPOKER,0,"9,4","12,33"," R$  21,73 ","0,00%","43,26%","56,74%",PLO6,-82
23/02/2026,188277,???!,PIXPOKER,"18,89","4,3","9,3"," R$  32,49 ","58,14%","13,23%","28,62%",NLH,-106
23/02/2026,102331,Nelson,PIXPOKER,"3,72",0,"17,42"," R$  21,14 ","17,60%","0,00%","82,40%",PLO6,-155
23/02/2026,102512,Myster poker,PIXPOKER,"7,05","1,1",0," R$  8,15 ","86,50%","13,50%","0,00%",NLH,-19
23/02/2026,103175,??MALEC??,PIXPOKER,"130,81","9,6","39,63"," R$  180,04 ","72,66%","5,33%","22,01%",NLH,-99
23/02/2026,106840,rostinho,PIXPOKER,"23,45",0,0," R$  23,45 ","100,00%","0,00%","0,00%",NLH,-67
23/02/2026,109744,Paulão do flop,PIXPOKER,"7,01",0,"23,01"," R$  30,02 ","23,35%","0,00%","76,65%",PLO6,-70
23/02/2026,152468,REIDO7,PIXPOKER,"1,1","73,15","1,07"," R$  75,32 ","1,46%","97,12%","1,42%",MTT,176
23/02/2026,153129,Zedd,PIXPOKER,"38,56",0,0," R$  38,56 ","100,00%","0,00%","0,00%",NLH,-58
23/02/2026,154395,fudooooo,PIXPOKER,"5,7",0,"66,11"," R$  71,81 ","7,94%","0,00%","92,06%",PLO6,-393
23/02/2026,161330,ALLMUTED,PIXPOKER,"32,15",0,0," R$  32,15 ","100,00%","0,00%","0,00%",NLH,-15
23/02/2026,162312,WeydsonL,PIXPOKER,"56,64",0,0," R$  56,64 ","100,00%","0,00%","0,00%",NLH,-302
23/02/2026,171083,animal,PIXPOKER,"0,57",0,"0,02"," R$  0,59 ","96,61%","0,00%","3,39%",NLH,-5
23/02/2026,171659,pix171659,PIXPOKER,"7,21",1,"42,29"," R$  50,50 ","14,28%","1,98%","83,74%",PLO6,26
23/02/2026,173001,lebron do poker,PIXPOKER,"0,91",0,0," R$  0,91 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,184231,Otaldopiza,PIXPOKER,"0,04",0,"54,22"," R$  54,26 ","0,07%","0,00%","99,93%",PLO6,-182
23/02/2026,188354,#descubra,PIXPOKER,"184,68","0,5","1,78"," R$  186,96 ","98,78%","0,27%","0,95%",NLH,197
23/02/2026,192692,pix192692,PIXPOKER,"298,14",0,"7,47"," R$  305,61 ","97,56%","0,00%","2,44%",NLH,460
23/02/2026,193010,pix193010,PIXPOKER,"9,76","51,8",0," R$  61,56 ","15,85%","84,15%","0,00%",MTT,-133
23/02/2026,193120,brrbrrpatapim,PIXPOKER,"12,04","3,7","55,75"," R$  71,49 ","16,84%","5,18%","77,98%",PLO6,-380
23/02/2026,193121,Aldryrj,PIXPOKER,"9,54",0,"183,31"," R$  192,85 ","4,95%","0,00%","95,05%",PLO6,-441
23/02/2026,193191,rc1908,PIXPOKER,"51,86",3,0," R$  54,86 ","94,53%","5,47%","0,00%",NLH,-164
23/02/2026,129268,olha o pirão,PIXPOKER,"0,04",0,0," R$  0,04 ","100,00%","0,00%","0,00%",NLH,-1
23/02/2026,154882,É O BR,PIXPOKER,"17,09","4,8","4,19"," R$  26,08 ","65,53%","18,40%","16,07%",NLH,-103
23/02/2026,191293,Júnior trator,PIXPOKER,"6,18","6,6",0," R$  12,78 ","48,36%","51,64%","0,00%",MTT,-109
23/02/2026,155081,Bradesco $@,PIXPOKER,"20,19","13,5","42,05"," R$  75,74 ","26,66%","17,82%","55,52%",PLO6,-19
23/02/2026,158810,Psicopoker,PIXPOKER,"4,72","6,26","1,14"," R$  12,12 ","38,94%","51,65%","9,41%",MTT,-42
23/02/2026,100211,Patrik Estrela,PIXPOKER,0,3,"13,28"," R$  16,28 ","0,00%","18,43%","81,57%",PLO6,-64
23/02/2026,100221,El Magron,PIXPOKER,0,"0,6",0," R$  0,60 ","0,00%","100,00%","0,00%",MTT,2
23/02/2026,100761,AlanKessio,PIXPOKER,"2,24","0,1","3,64"," R$  5,98 ","37,46%","1,67%","60,87%",PLO6,-59
23/02/2026,102042,MatheusCarvalho,PIXPOKER,0,"1,8","27,67"," R$  29,47 ","0,00%","6,11%","93,89%",PLO6,-200
23/02/2026,133158,pix133158,PIXPOKER,0,0,"7,02"," R$  7,02 ","0,00%","0,00%","100,00%",PLO6,-20
23/02/2026,136752,pix136752,PIXPOKER,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,140055,jr oião motos,PIXPOKER,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,-2
23/02/2026,141508,AAsexual,PIXPOKER,"16,14","1,1",0," R$  17,24 ","93,62%","6,38%","0,00%",NLH,-20
23/02/2026,145865,pix145865,PIXPOKER,"3,93","5,2",0," R$  9,13 ","43,04%","56,96%","0,00%",MTT,-76
23/02/2026,158308,LEAFAR777,PIXPOKER,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,4
23/02/2026,159057,MatosPoker,PIXPOKER,0,0,0, R$  -   ,,,,NLH,6
23/02/2026,161763,Reddy80,PIXPOKER,0,"57,85",0," R$  57,85 ","0,00%","100,00%","0,00%",MTT,-521
23/02/2026,193561,Iperes,PIXPOKER,"1,73","96,1","35,29"," R$  133,12 ","1,30%","72,19%","26,51%",MTT,-164
23/02/2026,121760,velinho8657,PIXPOKER,0,0,"11,34"," R$  11,34 ","0,00%","0,00%","100,00%",PLO6,-115
23/02/2026,146625,UngidoPix,PIXPOKER,0,0,"1,43"," R$  1,43 ","0,00%","0,00%","100,00%",PLO6,-20
23/02/2026,155230,tapia,PIXPOKER,0,0,"96,46"," R$  96,46 ","0,00%","0,00%","100,00%",PLO6,-720
23/02/2026,188178,DelegadoCall,PIXPOKER,"0,48",0,"280,19"," R$  280,67 ","0,17%","0,00%","99,83%",PLO6,-1.380
23/02/2026,193519,MOUNJARO,PIXPOKER,0,0,"208,33"," R$  208,33 ","0,00%","0,00%","100,00%",PLO6,-365
23/02/2026,143580,Avanti Palestra,PIXPOKER,0,0,"29,53"," R$  29,53 ","0,00%","0,00%","100,00%",PLO6,-35
23/02/2026,144291,d. negreano,PIXPOKER,0,0,"37,98"," R$  37,98 ","0,00%","0,00%","100,00%",PLO6,198
23/02/2026,171251,jhony@,PIXPOKER,0,0,"4,28"," R$  4,28 ","0,00%","0,00%","100,00%",PLO6,-26
23/02/2026,178675,XixaQ9,PIXPOKER,0,"4,8","5,53"," R$  10,33 ","0,00%","46,47%","53,53%",PLO6,-130
23/02/2026,145184,Blau Blau?,PIXPOKER,"3,46","31,65","3,96"," R$  39,07 ","8,86%","81,01%","10,14%",MTT,-252
23/02/2026,147059,GBC.10,PIXPOKER,"0,74","71,5","111,37"," R$  183,61 ","0,40%","38,94%","60,66%",PLO6,569
23/02/2026,193709,SNIPER?,PIXPOKER,0,5,"0,3"," R$  5,30 ","0,00%","94,34%","5,66%",MTT,-54
23/02/2026,122669,roy wild stone,PIXPOKER,"0,15",43,"267,4"," R$  310,55 ","0,05%","13,85%","86,11%",PLO6,-1.570
23/02/2026,138160,Chicão 01,PIXPOKER,0,0,"654,52"," R$  654,52 ","0,00%","0,00%","100,00%",PLO6,1.025
23/02/2026,151543,jotinhafelipe,PIXPOKER,0,0,"70,75"," R$  70,75 ","0,00%","0,00%","100,00%",PLO6,-231
23/02/2026,115174,andrade2,PIXPOKER,"1,99",0,0," R$  1,99 ","100,00%","0,00%","0,00%",NLH,-30
23/02/2026,120035,flatlapla,PIXPOKER,"86,45",0,0," R$  86,45 ","100,00%","0,00%","0,00%",NLH,230
23/02/2026,120485,RodrigOscar,PIXPOKER,"328,77",0,0," R$  328,77 ","100,00%","0,00%","0,00%",NLH,-645
23/02/2026,138318,edilson neto,PIXPOKER,"35,74",20,"63,66"," R$  119,40 ","29,93%","16,75%","53,32%",PLO6,-508
23/02/2026,151826,KvaratsKhelia W.,PIXPOKER,"38,56",0,0," R$  38,56 ","100,00%","0,00%","0,00%",NLH,-280
23/02/2026,100233,BlefsonSilva,PIXPOKER,0,0,"7,96"," R$  7,96 ","0,00%","0,00%","100,00%",PLO6,-130
23/02/2026,115700,pix115700,PIXPOKER,0,10,"35,17"," R$  45,17 ","0,00%","22,14%","77,86%",PLO6,-620
23/02/2026,172009,bruno102929,PIXPOKER,"0,66",0,195," R$  195,66 ","0,34%","0,00%","99,66%",PLO6,-1.821
23/02/2026,189205,fazer 1000,PIXPOKER,0,0,"2014,78"," R$  2.014,78 ","0,00%","0,00%","100,00%",PLO6,-1.775
23/02/2026,193467,Dompicomm,PIXPOKER,0,0,"58,78"," R$  58,78 ","0,00%","0,00%","100,00%",PLO6,418
23/02/2026,109387,Bigode,PIXPOKER,"177,16",0,0," R$  177,16 ","100,00%","0,00%","0,00%",NLH,-276
23/02/2026,109887,cucuriti,PIXPOKER,"31,57",0,"393,81"," R$  425,38 ","7,42%","0,00%","92,58%",PLO6,1.338
23/02/2026,156870,JPGA,PIXPOKER,"157,69","9,8","53,67"," R$  221,16 ","71,30%","4,43%","24,27%",NLH,-254
23/02/2026,169703,Chicken Little,PIXPOKER,"78,02",3,"11,72"," R$  92,74 ","84,13%","3,23%","12,64%",NLH,-94
23/02/2026,119022,SKROTO,PIXPOKER,0,6,"20,13"," R$  26,13 ","0,00%","22,96%","77,04%",PLO6,-203
23/02/2026,143716,Takeshi ?,PIXPOKER,0,"111,9",0," R$  111,90 ","0,00%","100,00%","0,00%",MTT,-1.119
23/02/2026,147210,Leooo_nery,PIXPOKER,0,"17,5","197,13"," R$  214,63 ","0,00%","8,15%","91,85%",PLO6,-989
23/02/2026,153359,semreclamação,PIXPOKER,0,"40,5",0," R$  40,50 ","0,00%","100,00%","0,00%",MTT,-142
23/02/2026,158586,junebass,PIXPOKER,0,"62,4","2,14"," R$  64,54 ","0,00%","96,68%","3,32%",MTT,176
23/02/2026,146599,pix146599,PIXPOKER,0,0,"307,32"," R$  307,32 ","0,00%","0,00%","100,00%",PLO6,-207
23/02/2026,160169,MestreDosMauros,PIXPOKER,0,0,"1947,87"," R$  1.947,87 ","0,00%","0,00%","100,00%",PLO6,-3.512
23/02/2026,107838,STAR 52,PIXPOKER,0,"118,3",0," R$  118,30 ","0,00%","100,00%","0,00%",MTT,-729
23/02/2026,101280,el sova do valorant,PIXPOKER,"106,02",6,"87,84"," R$  199,86 ","53,05%","3,00%","43,95%",NLH,-63
23/02/2026,108131,Coxapira,PIXPOKER,"3,85",0,0," R$  3,85 ","100,00%","0,00%","0,00%",NLH,-51
23/02/2026,136435,KIKO_CPB,PIXPOKER,"27,13",0,"4,31"," R$  31,44 ","86,29%","0,00%","13,71%",NLH,36
23/02/2026,136569,Ajudabarai,PIXPOKER,"6,04","1,3",0," R$  7,34 ","82,29%","17,71%","0,00%",NLH,-51
23/02/2026,136595,Jefin6710,PIXPOKER,"56,08","15,9",0," R$  71,98 ","77,91%","22,09%","0,00%",NLH,-212
23/02/2026,146768,Tonon,PIXPOKER,"3,56",0,0," R$  3,56 ","100,00%","0,00%","0,00%",NLH,-24
23/02/2026,152239,T.H.,PIXPOKER,"14,76",0,0," R$  14,76 ","100,00%","0,00%","0,00%",NLH,-25
23/02/2026,160398,OSTIN 09,PIXPOKER,"24,28",0,0," R$  24,28 ","100,00%","0,00%","0,00%",NLH,-42
23/02/2026,181902,pix181902,PIXPOKER,"75,39",2,"0,06"," R$  77,45 ","97,34%","2,58%","0,08%",NLH,206
23/02/2026,189622,YUGI OH,PIXPOKER,"1,17",0,0," R$  1,17 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,193871,pix193871,PIXPOKER,0,0,"63,13"," R$  63,13 ","0,00%","0,00%","100,00%",PLO6,-164
23/02/2026,121506,Big big mecky,PIXPOKER,0,0,"147,18"," R$  147,18 ","0,00%","0,00%","100,00%",PLO6,96
23/02/2026,158537,??fé no flop,PIXPOKER,"0,82",0,"37,95"," R$  38,77 ","2,12%","0,00%","97,88%",PLO6,-60
23/02/2026,113958,pix113958,PIXPOKER,0,0,"137,23"," R$  137,23 ","0,00%","0,00%","100,00%",PLO6,-172
23/02/2026,129999,Luciano11,PIXPOKER,0,"5,3","1294,89"," R$  1.300,19 ","0,00%","0,41%","99,59%",PLO6,1.249
23/02/2026,141552,PULSOFIRME,PIXPOKER,0,0,"32,47"," R$  32,47 ","0,00%","0,00%","100,00%",PLO6,-24
23/02/2026,145708,Oleodeperoba,PIXPOKER,0,0,"533,19"," R$  533,19 ","0,00%","0,00%","100,00%",PLO6,-3.775
23/02/2026,149021,ANTONOW,PIXPOKER,0,0,"23,94"," R$  23,94 ","0,00%","0,00%","100,00%",PLO6,-328
23/02/2026,150610,johnjohn@,PIXPOKER,0,0,"16,99"," R$  16,99 ","0,00%","0,00%","100,00%",PLO6,-39
23/02/2026,159370,pix159370,PIXPOKER,0,0,"9,72"," R$  9,72 ","0,00%","0,00%","100,00%",PLO6,-48
23/02/2026,164616,apilido,PIXPOKER,0,0,"85,23"," R$  85,23 ","0,00%","0,00%","100,00%",PLO6,-468
23/02/2026,173632,RubaodeCaruaru,PIXPOKER,"0,24",0,"9,93"," R$  10,17 ","2,36%","0,00%","97,64%",PLO6,-35
23/02/2026,178968,pix178968,PIXPOKER,0,0,"20,9"," R$  20,90 ","0,00%","0,00%","100,00%",PLO6,59
23/02/2026,189502,pix189502,PIXPOKER,"4,11",1,"477,16"," R$  482,27 ","0,85%","0,21%","98,94%",PLO6,-1.100
23/02/2026,175289,pix175289,PIXPOKER,0,0,"18,34"," R$  18,34 ","0,00%","0,00%","100,00%",PLO6,-180
23/02/2026,107109,pix107109,PIXPOKER,"7,05",0,"165,8"," R$  172,85 ","4,08%","0,00%","95,92%",PLO6,-824
23/02/2026,116085,thief,PIXPOKER,0,0,"8,4"," R$  8,40 ","0,00%","0,00%","100,00%",PLO6,-110
23/02/2026,151521,geobalaaa,PIXPOKER,0,0,"48,83"," R$  48,83 ","0,00%","0,00%","100,00%",PLO6,226
23/02/2026,154160,pix154160,PIXPOKER,0,0,"452,64"," R$  452,64 ","0,00%","0,00%","100,00%",PLO6,258
23/02/2026,153505,Gabriel Almeida,PIXPOKER,"185,25",0,0," R$  185,25 ","100,00%","0,00%","0,00%",NLH,-331
23/02/2026,193682,pix193682,PIXPOKER,0,"0,8","33,86"," R$  34,66 ","0,00%","2,31%","97,69%",PLO6,-186
23/02/2026,145436,zeboy,PIXPOKER,0,0,"413,37"," R$  413,37 ","0,00%","0,00%","100,00%",PLO6,-193
23/02/2026,154993,Ethan hunt,PIXPOKER,"203,26",0,"28,96"," R$  232,22 ","87,53%","0,00%","12,47%",NLH,-106
