s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,139352,henryzin,AF - GABRIEL BENEVOL,0,0,"56,48"," R$  56,48 ","0,00%","0,00%","100,00%",PLO6,-900
23/02/2026,152791,Karintó,AF - GABRIEL BENEVOL,0,0,"21,02"," R$  21,02 ","0,00%","0,00%","100,00%",PLO6,-200
23/02/2026,140440,Rafiusky,AF - GABRIEL BENEVOL,0,0,"8,46"," R$  8,46 ","0,00%","0,00%","100,00%",PLO6,283
23/02/2026,111763,gilmarppt,AF - LEANDRO,"13,71","61,2",0," R$  74,91 ","18,30%","81,70%","0,00%",MTT,875
23/02/2026,170947,marco a,AF - LEANDRO,0,"23,8",0," R$  23,80 ","0,00%","100,00%","0,00%",MTT,-216
23/02/2026,125886,RETALIADOR,AF - LEANDRO,"16,88","3,2","565,48"," R$  585,56 ","2,88%","0,55%","96,57%",PLO6,-967
23/02/2026,147889,Nc12,AF - LEANDRO,"4,12","4,3","32,48"," R$  40,90 ","10,07%","10,51%","79,41%",PLO6,-107
23/02/2026,156730,Erivanjr.,AF - LEANDRO,"1,62","1,8","3,9"," R$  7,32 ","22,13%","24,59%","53,28%",PLO6,-64
23/02/2026,119181,AstecK,AF - LEANDRO,"41,58",0,0," R$  41,58 ","100,00%","0,00%","0,00%",NLH,-117
23/02/2026,127645,Erick Vinny,AF - LEANDRO,"2,38",0,0," R$  2,38 ","100,00%","0,00%","0,00%",NLH,-16
23/02/2026,138513,A chibata neste,AF - LEANDRO,"279,33",0,0," R$  279,33 ","100,00%","0,00%","0,00%",NLH,-727
23/02/2026,139476,willamys,AF - LEANDRO,"63,88","2,4",0," R$  66,28 ","96,38%","3,62%","0,00%",NLH,-72
23/02/2026,139541,Boca,AF - LEANDRO,"1,34",0,"3,72"," R$  5,06 ","26,48%","0,00%","73,52%",PLO6,-10
23/02/2026,141565,Vidro,AF - LEANDRO,"293,06","2,05","194,72"," R$  489,83 ","59,83%","0,42%","39,75%",NLH,276
23/02/2026,141696,lupercia,AF - LEANDRO,"0,87","0,2",0," R$  1,07 ","81,31%","18,69%","0,00%",NLH,-11
23/02/2026,143787,bobdilanGOOD,AF - LEANDRO,"37,48","5,2",0," R$  42,68 ","87,82%","12,18%","0,00%",NLH,-112
23/02/2026,150696,Derel?,AF - LEANDRO,"36,05",0,0," R$  36,05 ","100,00%","0,00%","0,00%",NLH,-153
23/02/2026,155936,Harry Potter ?,AF - LEANDRO,"2,96",0,0," R$  2,96 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,157769,vpzera,AF - LEANDRO,"0,55","6,3","1,3"," R$  8,15 ","6,75%","77,30%","15,95%",MTT,-57
23/02/2026,164403,Almirante?,AF - LEANDRO,"3,45",0,0," R$  3,45 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,193227,pix193227,AF - LEANDRO,"305,91",13,"0,62"," R$  319,53 ","95,74%","4,07%","0,19%",NLH,-1.514
23/02/2026,129998,Gengis Khan,AF - LEANDRO,"1,91",0,0," R$  1,91 ","100,00%","0,00%","0,00%",NLH,-12
23/02/2026,130833,joakspk,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,136662,PERICANO,AF - LEANDRO,"5,24",0,"25,15"," R$  30,39 ","17,24%","0,00%","82,76%",PLO6,2
23/02/2026,138374,pix138374,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146728,gaviao33,AF - LEANDRO,"0,75","0,2",0," R$  0,95 ","78,95%","21,05%","0,00%",NLH,1
23/02/2026,148508,atrevido,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153437,edimar delicia,AF - LEANDRO,"3,16",86,0," R$  89,16 ","3,54%","96,46%","0,00%",MTT,-272
23/02/2026,172006,Moreira Filho,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,172717,Rat Pack,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153698,Ojuara??,AF - LEANDRO,"10,78",0,"6,74"," R$  17,52 ","61,53%","0,00%","38,47%",NLH,-97
23/02/2026,151420,mc laske,AF - LEANDRO,"1,47",0,"38,31"," R$  39,78 ","3,70%","0,00%","96,30%",PLO6,-122
23/02/2026,160798,DVD??,AF - LEANDRO,0,"1,4",0," R$  1,40 ","0,00%","100,00%","0,00%",MTT,-14
23/02/2026,141811,godobuceta??,AF - LEANDRO,"70,76","7,5",0," R$  78,26 ","90,42%","9,58%","0,00%",NLH,-458
23/02/2026,129294,Moraes14,AF - LEANDRO,"6,01",3,"1,55"," R$  10,56 ","56,91%","28,41%","14,68%",NLH,-86
23/02/2026,143578,Drxx,AF - LEANDRO,"27,43","27,5","5,46"," R$  60,39 ","45,42%","45,54%","9,04%",MTT,-100
23/02/2026,158242,pix158242,AF - LEANDRO,"59,06",0,"5,78"," R$  64,84 ","91,09%","0,00%","8,91%",NLH,-187
23/02/2026,159479,ANDREZIN,AF - LEANDRO,"40,03",0,0," R$  40,03 ","100,00%","0,00%","0,00%",NLH,-92
23/02/2026,176575,Vela,AF - LEANDRO,"74,51",0,0," R$  74,51 ","100,00%","0,00%","0,00%",NLH,421
23/02/2026,189995,Pedrinho?,AF - LEANDRO,"0,68",0,"3,28"," R$  3,96 ","17,17%","0,00%","82,83%",PLO6,-15
23/02/2026,106706,karai,AF - LEANDRO,0,"2,8","0,52"," R$  3,32 ","0,00%","84,34%","15,66%",MTT,-30
23/02/2026,133735,Balodinhosx777,AF - LEANDRO,0,0,"6,68"," R$  6,68 ","0,00%","0,00%","100,00%",PLO6,44
23/02/2026,170494,Leo Sobrinho,AF - LEANDRO,"19,79",0,"5,51"," R$  25,30 ","78,22%","0,00%","21,78%",NLH,49
23/02/2026,139289,juarezz,AF - LEANDRO,"1,04","11,5","1205,24"," R$  1.217,78 ","0,09%","0,94%","98,97%",PLO6,-1.952
23/02/2026,166162,Homer LABS,AF - LEANDRO,0,0,"125,61"," R$  125,61 ","0,00%","0,00%","100,00%",PLO6,-606
23/02/2026,113634,jaguatirica,AF - LEANDRO,0,0,"1,61"," R$  1,61 ","0,00%","0,00%","100,00%",PLO6,-13
23/02/2026,152368,SeMijarNoMuroKai,AF - LEANDRO,0,0,"63,44"," R$  63,44 ","0,00%","0,00%","100,00%",PLO6,67
23/02/2026,171775,Popo2519,AF - LEANDRO,0,"32,2",0," R$  32,20 ","0,00%","100,00%","0,00%",MTT,-255
23/02/2026,117424,VerissimoK,AF - LEANDRO,"7,83",0,"83,16"," R$  90,99 ","8,61%","0,00%","91,39%",PLO6,-680
23/02/2026,138676,Zoro Zola,AF - LEANDRO,0,"0,3",0," R$  0,30 ","0,00%","100,00%","0,00%",MTT,-3
23/02/2026,145256,FabrícioVoctor,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,159010,MESTRESHEIK,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,159067,Brenooo,AF - LEANDRO,"0,85",0,"18,99"," R$  19,84 ","4,28%","0,00%","95,72%",PLO6,210
23/02/2026,167825,pix167825,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,150102,BOBAXL,AF - LEANDRO,"7,2",0,"565,65"," R$  572,85 ","1,26%","0,00%","98,74%",PLO6,-545
23/02/2026,130760,B L O S,AF - LEANDRO,0,0,"64,03"," R$  64,03 ","0,00%","0,00%","100,00%",PLO6,270
23/02/2026,150617,urameshi,AF - LEANDRO,"1,94","5,9",0," R$  7,84 ","24,74%","75,26%","0,00%",MTT,-45
23/02/2026,157911,33,AF - LEANDRO,"11,58","17,6",0," R$  29,18 ","39,68%","60,32%","0,00%",MTT,30
23/02/2026,158000,MoRPhEo,AF - LEANDRO,"3,41",0,0," R$  3,41 ","100,00%","0,00%","0,00%",NLH,9
23/02/2026,146053,MANDALORIAN-146053,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,135735,Safadin0800,AF - LEANDRO,0,0,"6,96"," R$  6,96 ","0,00%","0,00%","100,00%",PLO6,-45
23/02/2026,140016,T. Shelby,AF - LEANDRO,0,"9,4","1,94"," R$  11,34 ","0,00%","82,89%","17,11%",MTT,-88
23/02/2026,163807,xaganais,AF - LEANDRO,"2,89",0,"1,62"," R$  4,51 ","64,08%","0,00%","35,92%",NLH,-25
23/02/2026,157541,LucasLeite,AF - LEANDRO,"0,76",0,"0,83"," R$  1,59 ","47,80%","0,00%","52,20%",PLO6,-6
23/02/2026,150298,Msanto,AF - LEANDRO,"5,69",0,0," R$  5,69 ","100,00%","0,00%","0,00%",NLH,-33
23/02/2026,156079,Alyson01,AF - LEANDRO,"0,46","0,3",0," R$  0,76 ","60,53%","39,47%","0,00%",NLH,-11
23/02/2026,156755,R&n@t0,AF - LEANDRO,"22,78",0,"17,89"," R$  40,67 ","56,01%","0,00%","43,99%",NLH,52
23/02/2026,165406,tx4200,AF - LEANDRO,0,0,"6,64"," R$  6,64 ","0,00%","0,00%","100,00%",PLO6,64
23/02/2026,177321,Vinicin_ATA,AF - LEANDRO,0,10,0," R$  10,00 ","0,00%","100,00%","0,00%",MTT,-100
23/02/2026,153963,Bandeira10,AF - LEANDRO,0,"3,9",0," R$  3,90 ","0,00%","100,00%","0,00%",MTT,-39
23/02/2026,158350,ZEDUPEIXE,AF - LEANDRO,"138,98","8,5","20,61"," R$  168,09 ","82,68%","5,06%","12,26%",NLH,-316
23/02/2026,171573,Gabriel.Lacerda,AF - LEANDRO,"92,52","4,2","63,03"," R$  159,75 ","57,92%","2,63%","39,46%",NLH,91
23/02/2026,138504,Pilantragem,AF - LEANDRO,"0,57","4,6","1,43"," R$  6,60 ","8,64%","69,70%","21,67%",MTT,-57
23/02/2026,171210,Coringa??,AF - LEANDRO,"6,48",14,0," R$  20,48 ","31,64%","68,36%","0,00%",MTT,-160
23/02/2026,132060,GAAALLLOOOOOOOOO,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,112206,thebe$t,AF - LEANDRO,0,0,"1,99"," R$  1,99 ","0,00%","0,00%","100,00%",PLO6,-20
23/02/2026,152328,ALEMDALOMBRA??,AF - LEANDRO,"105,95",0,0," R$  105,95 ","100,00%","0,00%","0,00%",NLH,-229
23/02/2026,139265,DiegoPicaPau,AF - LEANDRO,"5,57",10,"4,39"," R$  19,96 ","27,91%","50,10%","21,99%",MTT,-139
23/02/2026,112572,Viniti,AF - LEANDRO,0,0,"121,06"," R$  121,06 ","0,00%","0,00%","100,00%",PLO6,-340
23/02/2026,164421,IASZICAA,AF - LEANDRO,"6,83",1,"25,93"," R$  33,76 ","20,23%","2,96%","76,81%",PLO6,35
23/02/2026,156447,QuebraBanca,AF - LEANDRO,"1,04",0,"0,17"," R$  1,21 ","85,95%","0,00%","14,05%",NLH,4
23/02/2026,151379,Garel?,AF - LEANDRO,"3,4","3,8",0," R$  7,20 ","47,22%","52,78%","0,00%",MTT,-78
23/02/2026,140127,Peco,AF - LEANDRO,0,0,"33,08"," R$  33,08 ","0,00%","0,00%","100,00%",PLO6,-38
23/02/2026,148430,marquindopoker,AF - LEANDRO,0,0,"5,39"," R$  5,39 ","0,00%","0,00%","100,00%",PLO6,-49
23/02/2026,144936,pakito,AF - LEANDRO,0,"5,55",0," R$  5,55 ","0,00%","100,00%","0,00%",MTT,180
23/02/2026,180159,JOT4ÉRRE,AF - LEANDRO,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,-30
23/02/2026,152313,JP777,AF - LEANDRO,0,"1,25",0," R$  1,25 ","0,00%","100,00%","0,00%",MTT,-13
23/02/2026,136433,Lebr0n,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,149115,carlito157,AF - LEANDRO,0,0,"11,01"," R$  11,01 ","0,00%","0,00%","100,00%",PLO6,-16
23/02/2026,150323,CAIPISXIT,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165714,ATM001,AF - LEANDRO,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,178838,::%:::,AF - LEANDRO,"0,42",0,0," R$  0,42 ","100,00%","0,00%","0,00%",NLH,-5
23/02/2026,142316,Tomzera Apelão,AF - LEANDRO,0,0,"26,6"," R$  26,60 ","0,00%","0,00%","100,00%",PLO6,-50
23/02/2026,147425,ph018bsb,AF - LEANDRO,"1,97",0,0," R$  1,97 ","100,00%","0,00%","0,00%",NLH,-13
23/02/2026,174643,cajubina,AF - LEANDRO,"6,38",0,"1,66"," R$  8,04 ","79,35%","0,00%","20,65%",NLH,-30
23/02/2026,165787,Azarado22,AF - LEANDRO,"0,75",0,"23,09"," R$  23,84 ","3,15%","0,00%","96,85%",PLO6,-73
23/02/2026,107566,BruxoAl,AF - LEANDRO,0,"14,6",0," R$  14,60 ","0,00%","100,00%","0,00%",MTT,-104
23/02/2026,164881,Pipinelas,AF - LEANDRO,0,0,"2,86"," R$  2,86 ","0,00%","0,00%","100,00%",PLO6,-10
23/02/2026,121205,nylmar,AF - LEANDRO,"0,56","2,5",0," R$  3,06 ","18,30%","81,70%","0,00%",MTT,-32
23/02/2026,164460,J h o n z i n h o10k,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194205,pix194205,AF - LEANDRO,0,0,"55,07"," R$  55,07 ","0,00%","0,00%","100,00%",PLO6,-125
23/02/2026,153971,pix153971,AF - LEANDRO,0,0,"36,18"," R$  36,18 ","0,00%","0,00%","100,00%",PLO6,-150
23/02/2026,140434,Risotto,AF - LEANDRO,"0,94",0,0," R$  0,94 ","100,00%","0,00%","0,00%",NLH,49
23/02/2026,168454,G2___,AF - LEANDRO,"6,93",0,"1,36"," R$  8,29 ","83,59%","0,00%","16,41%",NLH,58
23/02/2026,110121,Filipe primo,AF - LEANDRO,"15,52",0,0," R$  15,52 ","100,00%","0,00%","0,00%",NLH,-35
23/02/2026,179967,BispoTha,AF - LEANDRO,"2,14",0,"0,04"," R$  2,18 ","98,17%","0,00%","1,83%",NLH,-30
23/02/2026,162657,xiiu,AF - LEANDRO,"5,65",0,0," R$  5,65 ","100,00%","0,00%","0,00%",NLH,-27
23/02/2026,150710,Ikki de Fênix,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165311,boruto,AF - LEANDRO,0,"0,5",0," R$  0,50 ","0,00%","100,00%","0,00%",MTT,23
23/02/2026,134393,Bonecas,AF - LEANDRO,"0,32",0,0," R$  0,32 ","100,00%","0,00%","0,00%",NLH,-4
23/02/2026,152138,jlucas283941,AF - LEANDRO,0,"15,2",0," R$  15,20 ","0,00%","100,00%","0,00%",MTT,-152
23/02/2026,148333,Quebrado original,AF - LEANDRO,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,-30
23/02/2026,151970,METEORO,AF - LEANDRO,0,0,"2,75"," R$  2,75 ","0,00%","0,00%","100,00%",PLO6,21
23/02/2026,125576,Sdcam011,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146963,kinho011,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,155125,lorinpoker,AF - LEANDRO,"5,28","0,1",0," R$  5,38 ","98,14%","1,86%","0,00%",NLH,-7
23/02/2026,157628,Dedé Amora,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165586,bati enxuga,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,170781,Ester S,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,179537,jjnao,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,164147,DavidRam,AF - LEANDRO,"2,07",0,0," R$  2,07 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,162734,abdujaballl,AF - LEANDRO,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,123986,D10xxx,None,"1,82","44,7","2,37"," R$  48,89 ","3,72%","91,43%","4,85%",MTT,-413
23/02/2026,131760,FelipeSc,None,0,"38,2",0," R$  38,20 ","0,00%","100,00%","0,00%",MTT,-175
23/02/2026,142932,pix142932,None,0,9,0," R$  9,00 ","0,00%","100,00%","0,00%",MTT,-90
23/02/2026,176091,carlindos,None,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,296
23/02/2026,179909,Trilheiro???,None,"1,92","109,86",0," R$  111,78 ","1,72%","98,28%","0,00%",MTT,-421
23/02/2026,184706,pixDavi22,None,"6,49","65,3",0," R$  71,79 ","9,04%","90,96%","0,00%",MTT,-413
23/02/2026,188505,crazygambler,None,0,"9,6",0," R$  9,60 ","0,00%","100,00%","0,00%",MTT,-96
23/02/2026,189235,pix189235,None,"0,72","307,8","32,63"," R$  341,15 ","0,21%","90,22%","9,56%",MTT,1.265
23/02/2026,193901,jbcruz,None,0,"8,5",0," R$  8,50 ","0,00%","100,00%","0,00%",MTT,-85
23/02/2026,170460,pix170460,None,"6,13",0,"16,21"," R$  22,34 ","27,44%","0,00%","72,56%",PLO6,-160
23/02/2026,190155,JUNIOR???,None,0,"66,6","556,49"," R$  623,09 ","0,00%","10,69%","89,31%",PLO6,-3.561
23/02/2026,194038,pix194038,None,0,0,"309,39"," R$  309,39 ","0,00%","0,00%","100,00%",PLO6,-359
23/02/2026,152480,zépagao,None,0,0,"6,21"," R$  6,21 ","0,00%","0,00%","100,00%",PLO6,-23
23/02/2026,192910,Tagler,None,0,0,"376,13"," R$  376,13 ","0,00%","0,00%","100,00%",PLO6,-655
23/02/2026,189112,sukitabr3,None,0,"8,3",0," R$  8,30 ","0,00%","100,00%","0,00%",MTT,-83
23/02/2026,193904,pix193904,None,0,"3,55",0," R$  3,55 ","0,00%","100,00%","0,00%",MTT,-36
23/02/2026,129537,REI DO POKKER AA,None,"0,22",1,"323,74"," R$  324,96 ","0,07%","0,31%","99,62%",PLO6,212
23/02/2026,171668,Agiotagem,None,0,0,"282,24"," R$  282,24 ","0,00%","0,00%","100,00%",PLO6,-423
23/02/2026,189032,Gabriel G,None,"45,86","0,2","10,71"," R$  56,77 ","80,78%","0,35%","18,87%",NLH,-28
23/02/2026,191271,Anthony Jonsson,None,"7,4","2,8","12,92"," R$  23,12 ","32,01%","12,11%","55,88%",PLO6,-37
23/02/2026,192132,pix127631,None,0,0,"169,71"," R$  169,71 ","0,00%","0,00%","100,00%",PLO6,346
23/02/2026,194014,pix194014,None,0,0,"527,66"," R$  527,66 ","0,00%","0,00%","100,00%",PLO6,1.496
23/02/2026,194083,pix194083,None,"42,87",0,"5,24"," R$  48,11 ","89,11%","0,00%","10,89%",NLH,-194
23/02/2026,128079,italoko,None,0,13,"30,78"," R$  43,78 ","0,00%","29,69%","70,31%",PLO6,-477
23/02/2026,130675,jacaregg,None,"0,65",0,"84,32"," R$  84,97 ","0,76%","0,00%","99,24%",PLO6,-300
23/02/2026,131090,salvianoreidocash,None,0,3,"42,71"," R$  45,71 ","0,00%","6,56%","93,44%",PLO6,175
23/02/2026,153739,DaviTabosa,None,"3,64",0,0," R$  3,64 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,165296,pix165296,None,"18,64",0,"77,57"," R$  96,21 ","19,37%","0,00%","80,63%",PLO6,-215
23/02/2026,174760,Sansãodelas,None,0,0,"23,64"," R$  23,64 ","0,00%","0,00%","100,00%",PLO6,-200
23/02/2026,181613,tyago,None,"5,91",0,"20,04"," R$  25,95 ","22,77%","0,00%","77,23%",PLO6,45
23/02/2026,183216,bode,None,"1,62",0,"76,72"," R$  78,34 ","2,07%","0,00%","97,93%",PLO6,-502
23/02/2026,186464,bebeto e romario,None,0,1,"1741,96"," R$  1.742,96 ","0,00%","0,06%","99,94%",PLO6,2.342
23/02/2026,188599,WalterWhite,None,0,0,"180,62"," R$  180,62 ","0,00%","0,00%","100,00%",PLO6,-437
23/02/2026,171411,?uturo?,None,"3,46","5,6",0," R$  9,06 ","38,19%","61,81%","0,00%",MTT,-47
23/02/2026,102898,shark,None,0,"1,3",0," R$  1,30 ","0,00%","100,00%","0,00%",MTT,-6
23/02/2026,111244,wendrews moura,None,"0,7","0,3",0," R$  1,00 ","70,00%","30,00%","0,00%",NLH,-8
23/02/2026,150541,MaldsNeto,None,0,"0,7",0," R$  0,70 ","0,00%","100,00%","0,00%",MTT,68
23/02/2026,153705,BubutiCheio??,None,0,"4,7","28,91"," R$  33,61 ","0,00%","13,98%","86,02%",PLO6,-95
23/02/2026,163740,Caco,None,0,"0,7",0," R$  0,70 ","0,00%","100,00%","0,00%",MTT,-7
23/02/2026,175860,Sussegado,None,0,7,0," R$  7,00 ","0,00%","100,00%","0,00%",MTT,-20
23/02/2026,188349,francisco,None,"37,29","2,3","6,65"," R$  46,24 ","80,64%","4,97%","14,38%",NLH,-79
23/02/2026,135826,Elch@p0,None,"7,51","0,5","0,72"," R$  8,73 ","86,03%","5,73%","8,25%",NLH,17
23/02/2026,140181,Khaiel,None,"3,13",0,0," R$  3,13 ","100,00%","0,00%","0,00%",NLH,-29
23/02/2026,144041,pixpoker1010,None,"0,05",0,0," R$  0,05 ","100,00%","0,00%","0,00%",NLH,3
23/02/2026,146725,Mestre Dos Magis,None,"1,66",1,0," R$  2,66 ","62,41%","37,59%","0,00%",NLH,-27
23/02/2026,147415,ceezar,None,"31,99",0,"16,71"," R$  48,70 ","65,69%","0,00%","34,31%",NLH,-11
23/02/2026,151070,Braga_0_0__?,None,"0,32","0,8","1,37"," R$  2,49 ","12,85%","32,13%","55,02%",PLO6,-24
23/02/2026,158548,FelipeMths,None,4,0,0," R$  4,00 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,159619,Don'tForgetTheJocker,None,"6,35","2,4",0," R$  8,75 ","72,57%","27,43%","0,00%",NLH,-64
23/02/2026,160611,lucasgodoy98,None,"2,43",0,0," R$  2,43 ","100,00%","0,00%","0,00%",NLH,-17
23/02/2026,162729,sóALLin,None,"1,48",0,0," R$  1,48 ","100,00%","0,00%","0,00%",NLH,-12
23/02/2026,163293,pix163293,None,"0,44",0,"5,42"," R$  5,86 ","7,51%","0,00%","92,49%",PLO6,-38
23/02/2026,164750,Alejandro,None,"3,29",0,0," R$  3,29 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,170257,pintao,None,"1,55",0,0," R$  1,55 ","100,00%","0,00%","0,00%",NLH,-11
23/02/2026,171895,BRR_magnificousSAGAZ,None,"3,38",0,"0,46"," R$  3,84 ","88,02%","0,00%","11,98%",NLH,-15
23/02/2026,171909,francildo,None,"7,44",0,"21,79"," R$  29,23 ","25,45%","0,00%","74,55%",PLO6,-115
23/02/2026,172922,... JR ...,None,"1,47",0,"4,33"," R$  5,80 ","25,34%","0,00%","74,66%",PLO6,-20
23/02/2026,173088,Bia777,None,"15,95",0,0," R$  15,95 ","100,00%","0,00%","0,00%",NLH,-22
23/02/2026,173089,danitremm,None,"19,82",0,"0,71"," R$  20,53 ","96,54%","0,00%","3,46%",NLH,13
23/02/2026,173268,nacton silvq,None,"5,92",0,0," R$  5,92 ","100,00%","0,00%","0,00%",NLH,-21
23/02/2026,173866,Matheusjopa,None,"3,46",0,"2,66"," R$  6,12 ","56,54%","0,00%","43,46%",NLH,-37
23/02/2026,174208,Negot,None,"0,76",0,0," R$  0,76 ","100,00%","0,00%","0,00%",NLH,-14
23/02/2026,176070,dandanfrt,None,"3,51","0,1",0," R$  3,61 ","97,23%","2,77%","0,00%",NLH,-25
23/02/2026,176747,Infame,None,"0,63",7,"1,05"," R$  8,68 ","7,26%","80,65%","12,10%",MTT,-73
23/02/2026,179974,Bezim09,None,"14,05",0,0," R$  14,05 ","100,00%","0,00%","0,00%",NLH,-85
23/02/2026,182909,Johnny walking,None,"9,28","20,5",0," R$  29,78 ","31,16%","68,84%","0,00%",MTT,-247
23/02/2026,182921,chupaaaaaa,None,"2,16","1,5","2,07"," R$  5,73 ","37,70%","26,18%","36,13%",NLH,-31
23/02/2026,183094,azogo10,None,"11,93",0,0," R$  11,93 ","100,00%","0,00%","0,00%",NLH,17
23/02/2026,185586,marco1981,None,"0,79",0,0," R$  0,79 ","100,00%","0,00%","0,00%",NLH,-4
23/02/2026,187520,pix187520,None,"88,43","2,3","1,89"," R$  92,62 ","95,48%","2,48%","2,04%",NLH,-37
23/02/2026,187654,Luiz Henrique,None,"29,29","0,5",0," R$  29,79 ","98,32%","1,68%","0,00%",NLH,-22
23/02/2026,190191,Paulo XM,None,"38,47","2,1","15,52"," R$  56,09 ","68,59%","3,74%","27,67%",NLH,-131
23/02/2026,190927,pix190927,None,1,"1,8","0,02"," R$  2,82 ","35,46%","63,83%","0,71%",MTT,-38
23/02/2026,191116,Ladrão012,None,"12,05",0,0," R$  12,05 ","100,00%","0,00%","0,00%",NLH,-40
23/02/2026,191621,thadeu,None,"2,87",0,"0,29"," R$  3,16 ","90,82%","0,00%","9,18%",NLH,-5
23/02/2026,191631,CAIXA-BAIXA,None,"4,85","94,1","21,9"," R$  120,85 ","4,01%","77,87%","18,12%",MTT,257
23/02/2026,193029,DOKA 07,None,"0,29","0,2","0,02"," R$  0,51 ","56,86%","39,22%","3,92%",NLH,-5
23/02/2026,193178,10 ANO,None,"37,9","9,3",0," R$  47,20 ","80,30%","19,70%","0,00%",NLH,-205
23/02/2026,193568,RodrigoLins,None,"20,55","4,05",0," R$  24,60 ","83,54%","16,46%","0,00%",NLH,-55
23/02/2026,193667,FlavioBolsoanro,None,"20,5",0,0," R$  20,50 ","100,00%","0,00%","0,00%",NLH,-37
23/02/2026,193890,pix193890,None,"121,32",0,"0,28"," R$  121,60 ","99,77%","0,00%","0,23%",NLH,-95
23/02/2026,193981,Mk 084,None,"46,43","15,2",0," R$  61,63 ","75,34%","24,66%","0,00%",NLH,-486
23/02/2026,193990,pix193990,None,"12,21",0,0," R$  12,21 ","100,00%","0,00%","0,00%",NLH,108
23/02/2026,194088,Augustopk,None,"3,51",0,"0,04"," R$  3,55 ","98,87%","0,00%","1,13%",NLH,-12
23/02/2026,194144,pix194144,None,"5,98",0,0," R$  5,98 ","100,00%","0,00%","0,00%",NLH,-2
23/02/2026,194159,pix194159,None,"1,48",0,0," R$  1,48 ","100,00%","0,00%","0,00%",NLH,25
23/02/2026,116140,Márcio Lins,None,"1,76",1,0," R$  2,76 ","63,77%","36,23%","0,00%",NLH,-21
23/02/2026,151112,SanMds,None,"0,59",0,"26,54"," R$  27,13 ","2,17%","0,00%","97,83%",PLO6,-40
23/02/2026,191127,Timehour,None,"78,99",0,0," R$  78,99 ","100,00%","0,00%","0,00%",NLH,272
23/02/2026,194142,fackkrlt,None,"0,96",0,0," R$  0,96 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,102854,mrsflush,None,"0,13","0,3","0,31"," R$  0,74 ","17,57%","40,54%","41,89%",PLO6,-1
23/02/2026,102869,shogun,None,"0,1",0,"1,64"," R$  1,74 ","5,75%","0,00%","94,25%",PLO6,1
23/02/2026,103301,gika,None,0,0,"0,7"," R$  0,70 ","0,00%","0,00%","100,00%",PLO6,1
23/02/2026,103320,melekoloko,None,0,0,"3,46"," R$  3,46 ","0,00%","0,00%","100,00%",PLO6,0
23/02/2026,103332,Mestrebud,None,0,0,"1,01"," R$  1,01 ","0,00%","0,00%","100,00%",PLO6,1
23/02/2026,105323,Serra City,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,105379,AD1D4S,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,105494,maguila,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,106148,migué,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,106460,caricatura02,None,0,0,0, R$  -   ,,,,NLH,0
