Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/03/2026,100711,César silva,PIXPOKER,0,"32,2",0," R$  32,20 ","0,00%","100,00%","0,00%",MTT,"-136,87"
23/03/2026,108030,Pitbull Enraivado,PIXPOKER,"0,76","21,2","26,8"," R$  48,76 ","1,56%","43,48%","54,96%",PLO6,"-310,38"
23/03/2026,111754,pix111754,PIXPOKER,0,4,"43,23"," R$  47,23 ","0,00%","8,47%","91,53%",PLO6,"-48,7"
23/03/2026,158810,Psicopoker,PIXPOKER,0,"7,6","0,29"," R$  7,89 ","0,00%","96,32%","3,68%",MTT,"-74,25"
23/03/2026,158848,titezera,PIXPOKER,"5,83","48,9",0," R$  54,73 ","10,65%","89,35%","0,00%",MTT,"-168,22"
23/03/2026,171835,TheRock99,PIXPOKER,"8,48","32,69",0," R$  41,17 ","20,60%","79,40%","0,00%",MTT,"-116,61"
23/03/2026,193191,rc1908,PIXPOKER,"45,67","8,3","37,33"," R$  91,30 ","50,02%","9,09%","40,89%",NLH,-499
23/03/2026,158093,Diegote86,PIXPOKER,"20,6","5,6",0," R$  26,20 ","78,63%","21,37%","0,00%",NLH,"3,77"
23/03/2026,170618,levy do maranguape,PIXPOKER,0,"3,3","75,95"," R$  79,25 ","0,00%","4,16%","95,84%",PLO6,-337
23/03/2026,102916,Elthigas,PIXPOKER,"1,19","12,55","212,76"," R$  226,50 ","0,53%","5,54%","93,93%",PLO6,"254,95"
23/03/2026,112136,VML$??,PIXPOKER,"105,61",0,"71,7"," R$  177,31 ","59,56%","0,00%","40,44%",NLH,"-473,01"
23/03/2026,121506,Big big mecky,PIXPOKER,0,0,"170,45"," R$  170,45 ","0,00%","0,00%","100,00%",PLO6,"-65,86"
23/03/2026,132740,ZeusPixpoker,PIXPOKER,"0,6",5,"85,05"," R$  90,65 ","0,66%","5,52%","93,82%",PLO6,-221
23/03/2026,145959,Adibe Jr 02,PIXPOKER,"16,4","1,8","1554,28"," R$  1.572,48 ","1,04%","0,11%","98,84%",PLO6,"-2520,65"
23/03/2026,146625,UngidoPix,PIXPOKER,0,0,"2,07"," R$  2,07 ","0,00%","0,00%","100,00%",PLO6,-10
23/03/2026,147771,LTOS19,PIXPOKER,"11,56",0,"31,04"," R$  42,60 ","27,14%","0,00%","72,86%",PLO6,"10,6"
23/03/2026,152039,VtNC ApP,PIXPOKER,0,0,"43,44"," R$  43,44 ","0,00%","0,00%","100,00%",PLO6,"156,64"
23/03/2026,153796,ivanneto7,PIXPOKER,0,0,"4,86"," R$  4,86 ","0,00%","0,00%","100,00%",PLO6,-5
23/03/2026,154395,fudooooo,PIXPOKER,"5,15",0,"34,65"," R$  39,80 ","12,94%","0,00%","87,06%",PLO6,"-76,83"
23/03/2026,154882,É O BR,PIXPOKER,"32,56",2,"5,98"," R$  40,54 ","80,32%","4,93%","14,75%",NLH,"-85,06"
23/03/2026,171266,BALA 27,PIXPOKER,0,0,"324,26"," R$  324,26 ","0,00%","0,00%","100,00%",PLO6,"111,17"
23/03/2026,174513,LasVegas171,PIXPOKER,"6,86","1,1","129,49"," R$  137,45 ","4,99%","0,80%","94,21%",PLO6,-19
23/03/2026,178437,loucojoker777?,PIXPOKER,0,"15,6","112,98"," R$  128,58 ","0,00%","12,13%","87,87%",PLO6,"-943,01"
23/03/2026,178675,XixaQ9,PIXPOKER,0,"9,1","55,28"," R$  64,38 ","0,00%","14,13%","85,87%",PLO6,142
23/03/2026,178968,pix178968,PIXPOKER,0,0,"765,58"," R$  765,58 ","0,00%","0,00%","100,00%",PLO6,-1645
23/03/2026,186464,bebeto e romario,PIXPOKER,0,0,"2,69"," R$  2,69 ","0,00%","0,00%","100,00%",PLO6,-12
23/03/2026,187664,Dwbliu,PIXPOKER,0,"0,5","16,33"," R$  16,83 ","0,00%","2,97%","97,03%",PLO6,"-48,55"
23/03/2026,192836,guizin777,PIXPOKER,0,"2,2","47,22"," R$  49,42 ","0,00%","4,45%","95,55%",PLO6,"-271,93"
23/03/2026,193731,iangabriel,PIXPOKER,"9,45",0,"11,37"," R$  20,82 ","45,39%","0,00%","54,61%",PLO6,-40
23/03/2026,146307,Bartholomew Kuma,PIXPOKER,0,"4,4",0," R$  4,40 ","0,00%","100,00%","0,00%",MTT,"-11,39"
23/03/2026,102512,Myster poker,PIXPOKER,"10,89","6,3",0," R$  17,19 ","63,35%","36,65%","0,00%",NLH,"-43,82"
23/03/2026,135395,Mandachuva,PIXPOKER,0,0,"701,29"," R$  701,29 ","0,00%","0,00%","100,00%",PLO6,"-1394,62"
23/03/2026,185992,davizin,PIXPOKER,"3,34",0,"310,66"," R$  314,00 ","1,06%","0,00%","98,94%",PLO6,"-365,05"
23/03/2026,188295,pagadordebluff,PIXPOKER,"6,81",0,"108,51"," R$  115,32 ","5,91%","0,00%","94,09%",PLO6,"-138,18"
23/03/2026,191614,pix191614,PIXPOKER,"3,21",0,"61,42"," R$  64,63 ","4,97%","0,00%","95,03%",PLO6,"57,27"
23/03/2026,118258,Gustavo Gomez,PIXPOKER,0,0,"222,48"," R$  222,48 ","0,00%","0,00%","100,00%",PLO6,"-1615,66"
23/03/2026,121760,velinho8657,PIXPOKER,0,0,"64,33"," R$  64,33 ","0,00%","0,00%","100,00%",PLO6,"-195,81"
23/03/2026,138160,Chicão 01,PIXPOKER,0,0,"353,88"," R$  353,88 ","0,00%","0,00%","100,00%",PLO6,"-775,23"
23/03/2026,149545,pix149545,PIXPOKER,0,167,"8215,94"," R$  8.382,94 ","0,00%","1,99%","98,01%",PLO6,"10248,75"
23/03/2026,155309,Andre13,PIXPOKER,0,0,"1009,54"," R$  1.009,54 ","0,00%","0,00%","100,00%",PLO6,-3615
23/03/2026,155550,aceitaumcha,PIXPOKER,0,0,"887,46"," R$  887,46 ","0,00%","0,00%","100,00%",PLO6,-4686
23/03/2026,159587,OMitoVoltou,PIXPOKER,0,0,"3757,2"," R$  3.757,20 ","0,00%","0,00%","100,00%",PLO6,"-5455,18"
