Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
11/05/2026,100819,A:.L:.,PIXPOKER,0,"25,3",0," R$  25,30 ","0,00%","100,00%","0,00%",MTT,"-165,88"
11/05/2026,105070,Lukspoki,PIXPOKER,"471,59","94,6",0," R$  566,19 ","83,29%","16,71%","0,00%",NLH,"567,13"
11/05/2026,118366,choranoriver,PIXPOKER,0,8,0," R$  8,00 ","0,00%","100,00%","0,00%",MTT,-80
11/05/2026,123986,D10xxx,PIXPOKER,0,"15,6","43,83"," R$  59,43 ","0,00%","26,25%","73,75%",PLO6,"-285,57"
11/05/2026,128228,bobssdi,PIXPOKER,0,"6,6","1,7"," R$  8,30 ","0,00%","79,52%","20,48%",MTT,138
11/05/2026,148445,gil pm,PIXPOKER,0,"68,7","634,58"," R$  703,28 ","0,00%","9,77%","90,23%",PLO6,"2339,33"
11/05/2026,155081,Bradesco $@,PIXPOKER,"38,54","24,3","9,36"," R$  72,20 ","53,38%","33,66%","12,96%",NLH,"-297,16"
11/05/2026,158810,Psicopoker,PIXPOKER,"1,43","13,04",0," R$  14,47 ","9,88%","90,12%","0,00%",MTT,"233,33"
11/05/2026,169412,PreDestinad0,PIXPOKER,"1,43","1,2","16,75"," R$  19,38 ","7,38%","6,19%","86,43%",PLO6,"-305,64"
11/05/2026,170039,Braúna??,PIXPOKER,0,"9,5",0," R$  9,50 ","0,00%","100,00%","0,00%",MTT,-95
11/05/2026,171835,TheRock99,PIXPOKER,"18,36","35,06",0," R$  53,42 ","34,37%","65,63%","0,00%",MTT,"-59,76"
11/05/2026,188494,Laele10x,PIXPOKER,"0,42",0,"221,45"," R$  221,87 ","0,19%","0,00%","99,81%",PLO6,"-904,08"
11/05/2026,103161,Beltranzin,PIXPOKER,"0,14","0,8","0,88"," R$  1,82 ","7,69%","43,96%","48,35%",PLO6,"-18,22"
11/05/2026,112641,tatuipoker,PIXPOKER,0,"29,76",0," R$  29,76 ","0,00%","100,00%","0,00%",MTT,"23,75"
11/05/2026,178437,loucojoker777?,PIXPOKER,0,"14,6","36,78"," R$  51,38 ","0,00%","28,42%","71,58%",PLO6,"-134,22"
11/05/2026,179909,Trilheiro???,PIXPOKER,"4,08","134,86",0," R$  138,94 ","2,94%","97,06%","0,00%",MTT,"-122,04"
11/05/2026,188354,#check,PIXPOKER,"12,58","5,4",0," R$  17,98 ","69,97%","30,03%","0,00%",NLH,-102
11/05/2026,195275,pix195275,PIXPOKER,0,0,"15,56"," R$  15,56 ","0,00%","0,00%","100,00%",PLO6,"-119,37"
11/05/2026,100761,AlanKessio,PIXPOKER,"3,93","2,8","35,97"," R$  42,70 ","9,20%","6,56%","84,24%",PLO6,-45
11/05/2026,100934,monts237,PIXPOKER,"19,57","0,1","2,29"," R$  21,96 ","89,12%","0,46%","10,43%",NLH,"-41,13"
11/05/2026,102512,Myster poker,PIXPOKER,"10,04","3,6",0," R$  13,64 ","73,61%","26,39%","0,00%",NLH,"-76,67"
11/05/2026,110951,SrAndrezito,PIXPOKER,"31,95",0,0," R$  31,95 ","100,00%","0,00%","0,00%",NLH,"-71,79"
11/05/2026,112234,AMSFOGO,PIXPOKER,"3,42",0,"0,32"," R$  3,74 ","91,44%","0,00%","8,56%",NLH,"-4,88"
11/05/2026,117699,fodase,PIXPOKER,"0,7",0,"210,42"," R$  211,12 ","0,33%","0,00%","99,67%",PLO6,"40,51"
11/05/2026,123585,tudo nosso,PIXPOKER,"0,34",0,"9,81"," R$  10,15 ","3,35%","0,00%","96,65%",PLO6,-78
11/05/2026,145959,Adibe Jr 02,PIXPOKER,"7,83",0,"838,38"," R$  846,21 ","0,93%","0,00%","99,07%",PLO6,-1346
11/05/2026,150186,el brocador,PIXPOKER,"20,78",0,0," R$  20,78 ","100,00%","0,00%","0,00%",NLH,"12,44"
11/05/2026,155383,Xots,PIXPOKER,"6,36",0,0," R$  6,36 ","100,00%","0,00%","0,00%",NLH,"-18,93"
11/05/2026,158093,Diegote86,PIXPOKER,"48,3","40,1","0,35"," R$  88,75 ","54,42%","45,18%","0,39%",NLH,"-110,61"
11/05/2026,158292,BYD66,PIXPOKER,"1,7",0,"0,83"," R$  2,53 ","67,19%","0,00%","32,81%",NLH,"-7,71"
11/05/2026,158820,Horus,PIXPOKER,"8,17",0,0," R$  8,17 ","100,00%","0,00%","0,00%",NLH,"-29,48"
11/05/2026,158848,cherameusovos,PIXPOKER,"6,04","4,2",0," R$  10,24 ","58,98%","41,02%","0,00%",NLH,"-66,55"
11/05/2026,159020,Zlatan11,PIXPOKER,"0,36",0,"148,89"," R$  149,25 ","0,24%","0,00%","99,76%",PLO6,"-196,84"
11/05/2026,167950,pix167950,PIXPOKER,"3,42",0,"139,53"," R$  142,95 ","2,39%","0,00%","97,61%",PLO6,"169,25"
11/05/2026,172194,gringo01,PIXPOKER,"29,99",0,"9,01"," R$  39,00 ","76,90%","0,00%","23,10%",NLH,-193
11/05/2026,173559,pix173559,PIXPOKER,"0,41",0,0," R$  0,41 ","100,00%","0,00%","0,00%",NLH,-10
11/05/2026,177504,pix177504,PIXPOKER,"1,14",1,0," R$  2,14 ","53,27%","46,73%","0,00%",NLH,"2,07"
11/05/2026,193559,Gabriellopes,PIXPOKER,"7,07",0,"2,38"," R$  9,45 ","74,81%","0,00%","25,19%",NLH,-25
11/05/2026,193890,pix193890,PIXPOKER,"43,61",6,"13,81"," R$  63,42 ","68,76%","9,46%","21,78%",NLH,"-36,57"
11/05/2026,194446,Kaoru Hanayama,PIXPOKER,"12,15",0,"5,71"," R$  17,86 ","68,03%","0,00%","31,97%",NLH,"31,75"
11/05/2026,112136,VML$??,PIXPOKER,"125,16","6,5","733,89"," R$  865,55 ","14,46%","0,75%","84,79%",PLO6,"817,49"
