Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
06/04/2026,100234,Pacauu,PIXPOKER,0,"109,2",0," R$  109,20 ","0,00%","100,00%","0,00%",MTT,"273,34"
06/04/2026,100711,Mister...,PIXPOKER,0,"249,3",0," R$  249,30 ","0,00%","100,00%","0,00%",MTT,"1634,8"
06/04/2026,158810,Psicopoker,PIXPOKER,0,"8,3","0,45"," R$  8,75 ","0,00%","94,86%","5,14%",MTT,-88
06/04/2026,160289,jimmysdi,PIXPOKER,0,"10,6",0," R$  10,60 ","0,00%","100,00%","0,00%",MTT,-106
06/04/2026,193970,Pimentax1,PIXPOKER,0,"138,8",0," R$  138,80 ","0,00%","100,00%","0,00%",MTT,"-646,82"
06/04/2026,102214,Daniel Dias,PIXPOKER,0,0,"3,86"," R$  3,86 ","0,00%","0,00%","100,00%",PLO6,"-21,96"
06/04/2026,110016,? Fantasma ?,PIXPOKER,0,0,"111,24"," R$  111,24 ","0,00%","0,00%","100,00%",PLO6,"-187,9"
06/04/2026,112136,VML$??,PIXPOKER,"48,96",0,"103,52"," R$  152,48 ","32,11%","0,00%","67,89%",PLO6,"-217,38"
06/04/2026,118027,EUROFARMA,PIXPOKER,0,3,"143,6"," R$  146,60 ","0,00%","2,05%","97,95%",PLO6,-107
06/04/2026,120746,toctoc,PIXPOKER,0,"2,9","101,68"," R$  104,58 ","0,00%","2,77%","97,23%",PLO6,"12,38"
06/04/2026,157737,raule de mel,PIXPOKER,0,0,"209,22"," R$  209,22 ","0,00%","0,00%","100,00%",PLO6,-166
06/04/2026,158399,ldcostta,PIXPOKER,"259,71",0,"1453,18"," R$  1.712,89 ","15,16%","0,00%","84,84%",PLO6,"-3001,07"
06/04/2026,162897,Totó ?,PIXPOKER,"67,89",0,"158,94"," R$  226,83 ","29,93%","0,00%","70,07%",PLO6,-136
06/04/2026,169221,TUBARÃO?,PIXPOKER,"0,35",0,"32,01"," R$  32,36 ","1,08%","0,00%","98,92%",PLO6,"-567,89"
06/04/2026,184048,flmaia,PIXPOKER,0,"21,4","247,89"," R$  269,29 ","0,00%","7,95%","92,05%",PLO6,"-28,67"
06/04/2026,188295,pagadordebluff,PIXPOKER,"0,84",0,"136,44"," R$  137,28 ","0,61%","0,00%","99,39%",PLO6,"805,22"
06/04/2026,193504,Pixpokerofc??,PIXPOKER,0,"11,3","133,97"," R$  145,27 ","0,00%","7,78%","92,22%",PLO6,"-810,97"
06/04/2026,102916,Elthigas,PIXPOKER,0,0,"136,47"," R$  136,47 ","0,00%","0,00%","100,00%",PLO6,"-735,83"
06/04/2026,129823,pix129823,PIXPOKER,0,0,"652,98"," R$  652,98 ","0,00%","0,00%","100,00%",PLO6,"-622,84"
06/04/2026,148637,wesley ff,PIXPOKER,"0,64",0,"644,06"," R$  644,70 ","0,10%","0,00%","99,90%",PLO6,"-1652,03"
06/04/2026,160169,MestreDosMauros,PIXPOKER,0,0,"3851,54"," R$  3.851,54 ","0,00%","0,00%","100,00%",PLO6,"1455,08"
06/04/2026,162136,pix162136,PIXPOKER,0,"0,5","4823,12"," R$  4.823,62 ","0,00%","0,01%","99,99%",PLO6,"-4113,16"
06/04/2026,185295,David blefador,PIXPOKER,"3,32",0,"273,98"," R$  277,30 ","1,20%","0,00%","98,80%",PLO6,"-728,44"
06/04/2026,187362,Higor00,PIXPOKER,"43,83",21,"34,33"," R$  99,16 ","44,20%","21,18%","34,62%",NLH,"-178,23"
06/04/2026,158848,titezera,PIXPOKER,"34,52","41,8",0," R$  76,32 ","45,23%","54,77%","0,00%",MTT,"19,27"
06/04/2026,193670,JotaroPoker,PIXPOKER,"1,6","0,5",0," R$  2,10 ","76,19%","23,81%","0,00%",NLH,"-27,1"
06/04/2026,102512,Myster poker,PIXPOKER,"3,14","0,7",0," R$  3,84 ","81,77%","18,23%","0,00%",NLH,"-27,88"
06/04/2026,149955,seu venâncio,PIXPOKER,0,"1,6",0," R$  1,60 ","0,00%","100,00%","0,00%",MTT,"20,36"
06/04/2026,194612,VENIMAX,PIXPOKER,"2,15","24,92",0," R$  27,07 ","7,94%","92,06%","0,00%",MTT,"-138,29"
06/04/2026,101140,TodasElas,PIXPOKER,0,0,"4,26"," R$  4,26 ","0,00%","0,00%","100,00%",PLO6,-60
06/04/2026,101748,Rafinhachulapa,PIXPOKER,0,0,"26,05"," R$  26,05 ","0,00%","0,00%","100,00%",PLO6,"-73,74"
06/04/2026,107206,PriorPVH,PIXPOKER,0,0,"15,21"," R$  15,21 ","0,00%","0,00%","100,00%",PLO6,-70
06/04/2026,112795,renancorrea1,PIXPOKER,"23,78",0,"51,87"," R$  75,65 ","31,43%","0,00%","68,57%",PLO6,565
06/04/2026,114698,Bodevoador,PIXPOKER,0,1,"47,99"," R$  48,99 ","0,00%","2,04%","97,96%",PLO6,"-143,87"
06/04/2026,126452,Brunov86,PIXPOKER,"0,66",0,"43,37"," R$  44,03 ","1,50%","0,00%","98,50%",PLO6,"-156,77"
06/04/2026,136600,pix136600,PIXPOKER,0,0,"17,55"," R$  17,55 ","0,00%","0,00%","100,00%",PLO6,91
06/04/2026,139726,bananinha,PIXPOKER,0,"380,6","1389,11"," R$  1.769,71 ","0,00%","21,51%","78,49%",PLO6,"-3218,85"
06/04/2026,144289,maakkaco26,PIXPOKER,"20,81","29,55","18,17"," R$  68,53 ","30,37%","43,12%","26,51%",MTT,"-318,3"
06/04/2026,145959,Adibe Jr 02,PIXPOKER,"14,63","0,5","1656,59"," R$  1.671,72 ","0,88%","0,03%","99,09%",PLO6,"-987,27"
06/04/2026,153384,NUTS,PIXPOKER,"0,52","42,6","166,79"," R$  209,91 ","0,25%","20,29%","79,46%",PLO6,"-930,5"
06/04/2026,154160,pix154160,PIXPOKER,0,0,"664,28"," R$  664,28 ","0,00%","0,00%","100,00%",PLO6,"3060,36"
06/04/2026,154531,allinsemolhar,PIXPOKER,0,"118,9","60,53"," R$  179,43 ","0,00%","66,27%","33,73%",MTT,"816,72"
06/04/2026,155309,Andre13,PIXPOKER,0,0,"2984,44"," R$  2.984,44 ","0,00%","0,00%","100,00%",PLO6,"279,13"
06/04/2026,155550,aceitaumcha,PIXPOKER,"0,01",0,"241,74"," R$  241,75 ","0,00%","0,00%","100,00%",PLO6,-1780
06/04/2026,156606,papacapim?,PIXPOKER,0,"0,5","164,92"," R$  165,42 ","0,00%","0,30%","99,70%",PLO6,"-239,21"
06/04/2026,159520,fritzlang,PIXPOKER,0,0,"153,96"," R$  153,96 ","0,00%","0,00%","100,00%",PLO6,"-24,99"
06/04/2026,159587,PesoPesadoVoltou,PIXPOKER,0,10,"3520,33"," R$  3.530,33 ","0,00%","0,28%","99,72%",PLO6,"-6460,34"
06/04/2026,159669,mainardi,PIXPOKER,"47,29",11,"248,67"," R$  306,96 ","15,41%","3,58%","81,01%",PLO6,-730
06/04/2026,165694,jr?,PIXPOKER,"4,36",7,"278,85"," R$  290,21 ","1,50%","2,41%","96,09%",PLO6,"141,43"
06/04/2026,167868,jusadelas_,PIXPOKER,0,5,"98,8"," R$  103,80 ","0,00%","4,82%","95,18%",PLO6,"886,06"
06/04/2026,171251,jhony@,PIXPOKER,"5,3",0,"1016,71"," R$  1.022,01 ","0,52%","0,00%","99,48%",PLO6,"-319,03"
06/04/2026,174847,Nem fudendo,PIXPOKER,"13,29",0,"147,84"," R$  161,13 ","8,25%","0,00%","91,75%",PLO6,"-117,1"
06/04/2026,187114,KL7-,PIXPOKER,"39,37",0,"488,94"," R$  528,31 ","7,45%","0,00%","92,55%",PLO6,"-702,57"
06/04/2026,192910,Tagler,PIXPOKER,0,0,"182,74"," R$  182,74 ","0,00%","0,00%","100,00%",PLO6,-1420
06/04/2026,193709,Zebranoo,PIXPOKER,0,"66,9","426,19"," R$  493,09 ","0,00%","13,57%","86,43%",PLO6,"-901,25"
06/04/2026,194305,pix194305,PIXPOKER,0,14,75," R$  89,00 ","0,00%","15,73%","84,27%",PLO6,"-324,09"
06/04/2026,194380,pix194380,PIXPOKER,"0,3",0,"250,82"," R$  251,12 ","0,12%","0,00%","99,88%",PLO6,-206
06/04/2026,194654,Mr Pet,PIXPOKER,"1,97",77,"159,72"," R$  238,69 ","0,83%","32,26%","66,92%",PLO6,1966
06/04/2026,100233,BlefsonSilva,PIXPOKER,0,0,"13,44"," R$  13,44 ","0,00%","0,00%","100,00%",PLO6,-60
